date,address,postal_code,county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description
"01/01/2010","5 Braemor Drive, Churchtown, Co.Dublin","","Dublin","€343,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2010","134 Ashewood Walk, Summerhill Lane, Portlaoise","","Laois","€185,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2010","1 Meadow Avenue, Dundrum, Dublin 14","","Dublin","€438,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","1 The Haven, Mornington","","Meath","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","11 Melville Heights, Kilkenny","","Kilkenny","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","52 Cartur Mor, Clybaun Road, Galway","","Galway","€236,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","58 Achill Square, Waterville, Blanchardstown","","Dublin","€270,000.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2010","60/61 The Elms, Mount Merrion Avenue, Blackrock","","Dublin","€685,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","7 Woodside, Rathnew","","Wicklow","€261,135.01","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","70 Farren Park, Waterford","","Waterford","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","Apt 3  Block 10  Gallery Quay, Grand Canal Square  Dublini 2","","Dublin","€244,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","Ballycharry, Lecamey, Culdaff","","Donegal","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","Carnaglough, Bonniconlon, Ballina","","Mayo","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","cushanna, college road, clane","","Kildare","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","harwood, gurteenroe, macroom","","Cork","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","Keelnaback, Glenbeigh","","Kerry","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","26 RUTLAND STREET, STREET","Dublin 1","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","27 Fairlands, Roscommon Road, Athlone","","Roscommon","€177,500.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","28 belville court, johnstown road, cabinteely","","Dublin","€200,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","28 Carraig Ean, Edenderry","","Offaly","€97,511.01","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"04/03/2010","3 Ballinlough Road, Cork","","Cork","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","34 Caiseal Cam, Roscam, Galway","","Galway","€329,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","35 Seafort Avenue, Sandymount","Dublin 4","Dublin","€630,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","37 Donore Avenue, South Circular Road","Dublin 8","Dublin","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","37 The Rise, Ryebridge, Kilcock","","Kildare","€215,859.02","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","4 Dangan Park, Kimmage Road West, Dublin 12","Dublin 12","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","47  Ballyvaeen, Kildimo","","Limerick","€158,590.30","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","48a Belmayne Avenue, Belmayne, Balgriffin","Dublin 13","Dublin","€312,775.33","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","49a Leinster Road, Rathmines, Dublin 6","Dublin 6","Dublin","€10,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","5 Marymount Villas, Old Youghal Rd","","Cork","€60,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","51 Glencairn Drive, The Gallops, Leopardstown","","Dublin","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","54 Burnell Park Avenue, Castleknock, Dubin 15","","Dublin","€405,000.00","No","No","Second-Hand Dwelling house /Apartment",""
